stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
grace	1.n. 优雅；恩惠；魅力；慈悲 2.vt. 使优美 3.n. (Grace)人名；(英)格雷斯，格雷丝 (女名)；(法)格拉斯 
planners	1.n. 规划师；规划人员（planner的复数）；计划人员 
reflection	1.n. 反射；沉思；映象 
rubbish	1.n. 垃圾，废物；废话 2.adj. 毫无价值的 
Yasukuni	1.n. 靖国神社 
Sciences	1.n. 科学（science的复数） 
fraught	1.adj. 担心的，忧虑的；充满…的 
sticking	1.n. 粘辊；附着；坚持性 2.v. 粘住，坚持（stick的ing形式） 3.adj. 粘的；有粘性的 
quest	1.n. 追求；寻找 2.vt. 探索 3.vi. 追求；寻找 4.n. (Quest)人名；(德)奎斯特 
Howard	1.n. 霍华德（男子名） 
Williams	1.n. 威廉姆斯（男子名） 
favourable	1.n. 有利 2.adj. 有利的，顺利的；赞成的 
calculate	1.vt. 计算；预测；认为；打算 2.vi. 计算；以为；作打算 
tycoons	1.企业界大亨，巨头 2.巨富（tycoon的复数） 
component	1.n. 成分；组件；[电子] 元件 2.adj. 组成的，构成的 
counties	1.n. 郡，县 
Crime	1.n. 罪行，犯罪；罪恶；犯罪活动 2.vt. 控告……违反纪律 
resign	1.n. 辞去职务 2.vi. 辞职 3.vt. 辞职；放弃；委托；使听从 
strains	1.n. [微] 菌株（strain复数）；种族 2.v. [力] 拉紧；使过度劳累（strain的第三人称单数形式） 
knock	1.n. 敲；敲打；爆震声 2.vi. 敲；打；敲击 3.vt. 敲；打；敲击；批评 
modified	1.v. 修改；缓和（modify的过去分词） 2.adj. 改进的，修改的；改良的 
electrical	1.adj. 有关电的；电气科学的 
classical	1.n. 古典音乐 2.adj. 古典的；经典的；传统的；第一流的 
collecting	1.聚集 2.收集（collect的现在分词） 
oligarch	1.n. 寡头政治执政者 
remarks	1.n. 评论（remark的复数）；摘要；附注 
well-known	1.adj. 著名的；众所周知的；清楚明白的 
Coast	1.n. 海岸；滑坡 2.vt. 沿…岸航行 3.vi. 滑行；沿岸航行 4.n. (Coast)人名；(英)科斯特 
forecasters	1.n. 预报员 2.n. (Forecaster)人名；(英)福卡斯特 
Princeton	1.n. 普林斯顿（美国新泽西州中部的自治市镇） 
Pope	1.n. 教皇，罗马教皇；权威，大师 
Maliki	1.n. 伊斯兰教中马利基教派（强调获取穆斯林孩子抚养权的非穆斯林，不能给孩子伊斯兰所禁止的饮料和食物，如酒和猪肉） 
smog	1.n. 烟雾 
wiped	1.拭接 
install	1.vt. 安装；任命；安顿 
procedure	1.n. 程序，手续；步骤 
sacrifice	1.n. 牺牲；祭品；供奉 2.vt. 牺牲；献祭；亏本出售 3.vi. 献祭；奉献 
discover	1.vi. 发现 2.vt. 发现；发觉 
Gay	1.n. 同性恋者 2.adj. 快乐的；放荡的；艳丽的 3.n. (Gay)人名；(西)加伊；(英、法、瑞典、毛里塔)盖伊 
implemente	
addiction	1.n. 上瘾，沉溺；癖嗜 
capitalist	1.n. 资本家；资本主义者 2.adj. 资本主义的；资本家的 
Lehman	1.n. 雷曼（姓氏） 
fleeing	1.vt. 逃离（flee的ing形式） 2.vi. 突然消失（flee的ing形式） 
snapped	1.v. 啪啪作响；突然中断；猛咬；给…拍快照（snap的过去分词） 
personnel	
openness	1.n. 公开；宽阔；率真 
revolt	1.n. 反抗；叛乱；反感 2.vt. 使反感；使恶心 3.vi. 反抗；反叛；反感，厌恶 
tumbling	1.n. 翻筋斗；摔跤 2.adj. 歪斜状的 3.v. 跌倒；毁灭；被绊倒（tumble的ing形式） 
counterpart	1.n. 副本；配对物；极相似的人或物 
manufacturer	1.n. 制造商；[经] 厂商 
restoring	1.v. 恢复，重建；正在恢复（restore的现在分词） 2.adj. 恢复的 
resume	1.n. 摘要；[管理] 履历，简历 2.vi. 重新开始，继续 3.vt. 重新开始，继续；恢复，重新占用 
crushed	1.v. 压碎（crush的过去分词） 2.adj. 压碎的，倒碎的 
Cairo	1.n. 开罗（埃及首都） 
intact	1.adj. 完整的；原封不动的；未受损伤的 
divisive	1.adj. 分裂的；区分的；造成不和的 
unite	1.vi. 团结；联合；混合 2.vt. 使…混合；使…联合；使…团结 
Balkans	1.n. 巴尔干半岛各国；巴尔干半岛地区 
policemen	1.n. 警察（policeman的复数形式） 
embarrassing	1.adj. 使人尴尬的；令人为难的 
declares	1.vt. 宣布，声明；断言，宣称 2.vi. 声明，宣布 
dip	1.n. 下沉，下降；倾斜；浸渍，蘸湿 2.vi. 浸；下降，下沉；倾斜；舀，掏 3.vt. 浸，泡，蘸；舀取；把伸入 4.n. (Dip)人名；(尼)迪普 
deputies	1.n. 副手；二把手（deputy的复数形式） 
Lebanese	1.n. 黎巴嫩人 2.adj. 黎巴嫩的 
Salmond	1.n. (Salmond)人名；(英)萨蒙德 
guidelines	1.n. 指导方针 2.参考 
Lawrence	1.n. 劳伦斯（男子名） 
echo	1.n. 回音；效仿 2.vt. 反射；重复 3.vi. 随声附和；发出回声 
adopting	1.vt. 采取；接受；收养；正式通过 2.vi. 采取；过继 
riskier	1.冒险的（risky的比较级） 
formation	1.n. 形成；构造；编队 
inspiration	1.n. 灵感；鼓舞；吸气；妙计 
matched	1.v. 敌得过；和…相配（match的过去式和过去分词） 2.adj. 相配的；敌得过的 
subsidiaries	1.n. 子公司；下属公司（subsidiary的复数） 
achievements	1.n. 业绩；获得（achievement的复数） 
slows	1.n. [医] 乳毒病 2.v. 减速（slow的第三人称单数） 
challenger	1.n. 挑战者 2.n. (Challenger)人名；(英)查林杰 
comply	1.vi. 遵守；顺从，遵从；答应 
bargain	1.n. 交易；便宜货；契约 2.v. 讨价还价；议价；(谈价钱后)卖 
Trust	1.n. 信任，信赖；责任；托拉斯 2.vt. 信任，信赖；盼望；赊卖给 3.vi. 信任，信赖；依靠 4.n. (Trust)人名；(英)特拉斯特 
placing	1.n. 出售；铺设；得名次的人或物；私募资金 2.v. 放置（place的ing形式） 
identities	1.身份 2.特性 
haven	1.n. 港口；避难所，安息所 2.vt. 为……提供避难处；安置……于港中 3.n. (Haven)人名；(英)黑文 
speaker	1.n. 演讲者；扬声器；说话者；说某种语言的人 2.n. (Speaker)人名；(英)斯皮克 
pronounced	1.v. 发音；宣告；断言（pronounce的过去分词） 2.adj. 显著的；断然的；讲出来的 
mosque	1.n. 清真寺 
windows	1.n. 微软公司生产的“视窗”操作系统 
Amid	1.prep. 在其中，在其间 2.n. (Amid)人名；(法、阿拉伯)阿米德 
autocratic	1.adj. 专制的；独裁的，专横的 
eruption	1.n. 爆发，喷发；火山灰；出疹 
homeland	1.n. 祖国；故乡 
stomach	1.n. 胃；腹部；胃口 2.vt. 忍受；吃下 3.vi. 忍受 
Competition	1.n. 竞争；比赛，竞赛 
discounts	1.n. 优惠，折价；扣减额（discount的复数形式） 2.v. 打折扣（discount的三单形式）；[金融] 贴现；低估；漠视 
displayed	1.v. 表现（display的过去分词）；展示；陈列 2.adj. 显示的 
shame	1.n. 羞耻，羞愧；憾事，带来耻辱的人 2.vt. 使丢脸，使羞愧 3.n. (Shame)人名；(科特)沙梅 
Control	1.n. 控制；管理；抑制；操纵装置 2.vt. 控制；管理；抑制 
symptoms	1.n. [临床] 症状；症候；病徵 
smile	1.n. 微笑；笑容；喜色 2.vt. 微笑着表示 3.vi. 微笑 4.n. (Smile)人名；(塞)斯米莱 
intelligent	1.adj. 智能的；聪明的；理解力强的 
Radio	1.n. 收音机；无线电广播设备 2.vt. 用无线电发送 3.vi. 用无线电进行通信 4.n. (Radio)人名；(西)拉迪奥 
shocked	1.v. 使震动（shock的过去式） 2.adj. 震惊的；震撼的 
stateless	1.adj. 没有国家的；无国家主权的 
sufficiently	1.adv. 充分地；足够地 
noise	1.n. [环境] 噪音；响声；杂音 2.vt. 谣传 3.vi. 发出声音；大声议论 4.n. (Noise)人名；(英)诺伊斯 
essence	1.n. 本质，实质；精华；香精 2.n. (Essence)人名；(英)埃森丝 
tournament	1.n. 锦标赛，联赛；比赛 
notoriously	1.adv. 众所周知地；声名狼藉地；恶名昭彰地 
Quebec	1.n. 魁北克（加拿大港市省名） 
Care	1.n. 关怀；照料；谨慎；忧虑 2.vt. 在意；希望或喜欢 3.vi. 照顾；关心；喜爱；顾虑 4.n. (Care)人名；(英)凯尔；(塞)察蕾 
implies	1.v. 意味着（imply的第三人称单数）；蕴含；暗指 
Senior	1.n. 上司；较年长者；毕业班学生 2.adj. 高级的；年长的；地位较高的；年资较深的，资格较老的 3.n. (Senior)人名；(英)西尼尔 
outspoken	1.adj. 坦率的，直言不讳的 
unionists	1.n. 工会会员；联合主义者 
hosting	1.n. 作战；群众或部队的集合 
portfolios	1.n. 档案；文件夹（portfolio的复数）；证券投资组合 
Romanians	1.n. 罗马尼亚人；罗马尼亚语 2.adj. 罗马尼亚的 
Researchers	1.n. 研究人员，研究者（researcher的复数形式） 
mysterious	1.adj. 神秘的；不可思议的；难解的 
wondered	1.奇迹 2.想知道 
Android	1.n. 机器人；安卓操作系统 
ruthless	1.adj. 无情的，残忍的 
costing	1.n. 成本计算；生产费用 2.v. 花费（cost的ing形式） 3.n. (Costing)人名；(罗)科斯廷格 
defending	1.v. 防护；防卫（defend的ing形式） 2.adj. 卫冕的；防御中的；防守型的 
Harris	1.n. 哈里斯（英国苏格兰一地区）；哈里斯（姓氏） 
ancestors	1.n. [生物] 祖先，上代；先祖（ancestor复数形式） 
glance	1.n. 一瞥；一滑；闪光 2.vt. 扫视；瞥见；擦过 3.vi. 扫视，匆匆一看；反光；瞥闪，瞥见 4.n. (Glance)人名；(英)格兰斯 
wasted	1.v. 浪费（waste的过去式） 2.adj. 浪费的 
debating	1.v. 辩论（debate的ing形式） 
virtues	1.n. 优点，贞操；美德 
widening	1.v. 使扩大；拓宽；扩展（widen的ing形式）；使变宽 
toppled	1.vi. 倾倒；倒塌；摇摇欲坠 2.vt. 推翻；颠覆；使倒塌 3.n. (Topple)人名；(英)托佩尔 
earns	1.vt. 赚，赚得；获得，挣得；使得到；博得 2.n. (Earn)人名；(泰)炎 
Premier	1.n. 总理，首相 2.adj. 第一的；最初的 
sperm	1.n. 精子；精液；鲸蜡油 
healthier	1.adj. 更健康（healthy的比较级） 
concedes	1.vt. 承认；退让；给予，容许 2.vi. 让步 
surgery	1.n. 外科；外科手术；手术室；诊疗室 
Geithner	1.n. 盖纳（姓氏） 
Yerkes	1.n. 耶基斯（姓氏） 
Trans-Pacific	
journalism	1.n. 新闻业，新闻工作；报章杂志 
architecture	1.n. 建筑学；建筑风格；建筑式样 
secession	1.n. 脱离；分离 
recipe	1.n. 食谱；[临床] 处方；秘诀 
parenting	1.n. 父母对子女的养育 2.v. 教养（parent的ing形式）；做…的父亲或母亲 
slight	1.n. 怠慢；轻蔑 2.adj. 轻微的，少量的；脆弱的；细长的；不重要的 3.vt. 轻视，忽略；怠慢 
twist	1.n. 扭曲；拧；扭伤 2.vt. 捻；拧；扭伤；编织；使苦恼 3.vi. 扭动；弯曲 4.n. (Twist)人名；(英)特威斯特 
indebted	1.adj. 负债的；感激的；受惠的 2.v. 使负债；使受恩惠（indebt的过去分词） 
absorbed	1.v. 吸收；使全神贯注（absorb的过去分词形式） 2.adj. 被吸收的；一心一意的 
obsession	1.n. 痴迷；困扰；[内科][心理] 强迫观念 
mentally	1.adv. 精神上，智力上；心理上 
pilots	1.n. [航] 飞行员；向导；试播节目；自动驾驶仪（pilot的复数） 2.v. 领航；指引；试用（pilot的三单形式） 
dismiss	1.vt. 解散；解雇；开除；让...离开；不予理会、不予考虑 2.vi. 解散 
advocacy	1.n. 主张；拥护；辩护 
endorse	1.vt. 背书；认可；签署；赞同；在背面签名 
fashionable	1.adj. 流行的；时髦的；上流社会的 
substitute	1.n. 代用品；代替者 2.vi. 替代 3.vt. 代替 
subjected	1.v. 使遭受（subject的过去分词形式）；使从属；受…影响 
charts	1.n. 图表；排行榜（chart的复数） 2.v. 绘制…的海图；制订计划（chart的第三人称单数） 
cocaine	1.n. [药] 可卡因 
killings	1.n. 杀戮（killing的复数） 
money-laundering	1.洗钱 
beach	1.n. 海滩；湖滨 2.vt. 将…拖上岸 3.vi. 搁浅；定居 4.n. (Beach)人名；(英)比奇 
outskirts	1.n. 市郊，郊区 
receives	1.n. 受光面 2.v. 接受，接收（receive的第三人称单数） 
interviews	1.n. 访谈；面试；面谈（interview的复数） 2.v. 面试（interview的三单形式）；接见 
slaves	1.n. 奴隶, 服伺的人; 侍女; 上瘾; 服务于另一连接计算机的系统 (计算机用语) 
designer	1.n. 设计师；谋划者 2.adj. 由设计师专门设计的；享有盛名的；赶时髦的 
poised	1.adj. 泰然自若的，镇定的；平衡的，均衡的；摆好姿势不动的，静止的 
faction	1.n. 派别；内讧；小集团；纪实小说 
sorry	1.adj. 遗憾的；对不起的，抱歉的 2.int. 对不起，抱歉（表示委婉的拒绝等） 
blocking	1.n. 阻塞；封闭；大块 2.v. 阻塞（block的ing形式） 
Saleh	1.n. 萨利赫（人名） 
illicit	1.adj. 违法的；不正当的 
indefinitely	1.adv. 不确定地，无限期地；模糊地，不明确地 
celebration	1.n. 庆典，庆祝会；庆祝；颂扬 
shield	1.n. 盾；防护物；保护者 2.vt. 遮蔽；包庇；避开；保卫 3.vi. 防御；起保护作用 4.n. (Shield)人名；(英)希尔德 
overthrow	1.n. 推翻；倾覆；瓦解 2.vt. 推翻；打倒；倾覆 
insights	1.n. 洞察力；眼力；深刻见解（insight的复数） 
schooling	1.n. 学校教育；学费 2.v. 教育（school的ing形式）；培养 3.n. (Schooling)人名；(英)斯库林 
symbolic	1.adj. 象征的；符号的；使用符号的 
prospective	1.n. 预期；展望 2.adj. 未来的；预期的 
preserving	1.n. 保留，保存 
slip	1.n. 滑，滑倒；片，纸片；错误；下跌；事故 2.abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol） 3.adj. 滑动的；有活结的；活络的 4.vt. 使滑动；滑过；摆脱；塞入；闪开 5.vi. 滑动；滑倒；犯错；失足；减退 6.n. (Slip)人名；(芬)斯利普 
gear	1.n. 齿轮；装置，工具；传动装置 2.adj. 好极了 3.vt. 开动；搭上齿轮；使……适合；使……准备好 4.vi. 适合；搭上齿轮；开始工作 5.n. (Gear)人名；(英)吉尔 
Dominican	1.n. 多明尼加共和国的居民 2.adj. 多明尼加共和国的 
conversion	1.n. 转换；变换；[金融] 兑换；改变信仰 
venture-capital	1.风险资本 
specialised	1.adj. 专门的；特别的（等于specialized） 2.v. 使专门化；专攻；详细说明（specialise的过去分词） 
briefing	1.n. 简报；作战指示 2.v. 概述；作…的摘要（brief的现在分词） 
gadgets	1.n. 小配件；小工具（gadget的复数） 
gloom	1.n. 忧郁；阴暗 2.vt. 使黑暗；使忧郁 3.vi. 变阴暗；变忧沉；感到沮丧 
brutality	1.n. 无情；残忍；暴行（需用复数形式） 
teenager	1.n. 十几岁的青少年；十三岁到十九岁的少年 
depreciation	1.n. 折旧；贬值 
Maria	1.n. 母驴；母马 2.【天文学】海(指月亮、火星表面的阴暗部分) 
McConnell	1.麦康内尔（美国地名） 2.n. (McConnell)人名；(英)麦康奈尔 
agreeing	1.v. 同意（agree的ing形式） 
Congressional	1.adj. 国会的；会议的；议会的 
conservatism	1.n. 保守主义；守旧性 
farmer	1.n. 农夫，农民 2.n. (Farmer)人名；(英)法默；(法)法尔梅；(西)法梅尔 
Boeing	1.n. 波音（客机） 
prisons	1.n. 监狱；监禁；拘留所 2.vt. 监禁，关押 3.n. (Prison)人名；(德)普里松 
privilege	1.n. 特权；优待；基本权利 2.vt. 给与…特权；特免 
elusive	1.adj. 难懂的；易忘的；逃避的；难捉摸的 
assumes	1.假定 2.假设 
south-western	1.adj. 西南的；位于西南方的 
inland	1.n. 内地；内陆 2.adj. 内陆的；内地的；国内的 3.adv. 在内地；向内地；向内陆；在内陆 
kidnapped	1.v. 诱拐，绑架（kidnap过去时形式） 
descendant	1.n. 后裔；子孙 2.adj. 下降的；祖传的 
endure	1.vt. 忍耐；容忍 2.vi. 忍耐；持续 
container	1.n. 集装箱；容器 
rivalry	1.n. 竞争；对抗；竞赛 
Alan	1.n. 艾伦（男子名） 
secretary-general	1.n. 秘书长；总书记 
taxis	1.n. 整腹法；反射运动；分类法；（古希腊军队的）分队；排列 2.n. (Taxis)人名；(英、芬)塔克西斯 
implied	1.adj. 含蓄的；暗指的 2.vt. 暗示；意味（imply的过去式） 
funeral	1.n. 葬礼；麻烦事 2.adj. 丧葬的，出殡的 
Mumbai	1.n. 孟买（印度城市） 
merit	1.n. 优点，价值；功绩；功过 2.vt. 值得 3.vi. 应受报答 
located	1.adj. 处于，位于；坐落的 
entrenched	1.v. 确立；保证；挖掘壕沟（entrench的过去分词） 2.adj. 根深蒂固的；确立的，不容易改的 
chaotic	1.adj. 混沌的；混乱的，无秩序的 
consistent	1.adj. 始终如一的，一致的；坚持的 
versus	1.prep. 对；与...相对；对抗 
innovations	1.n. 创新（innovation的复数）；改革 
scant	1.adj. 不足的；缺乏的；勉强够的 2.vt. 减少；节省；限制 
Affairs	1.n. 事务，事宜；风流韵事 
conquest	1.n. 征服，战胜；战利品 2.n. (Conquest)人名；(英)康奎斯特 
define	1.vt. 定义；使明确；规定 2.n. (Define)人名；(英)德法恩；(葡)德菲内 
pursued	1.v. 追击，追踪；继续从事（pursue的过去分词形式） 
bargaining	1.n. 讨价还价；交易；交涉 2.v. 讨价还价；交易（bargain的ing形式） 
Opinion	1.n. 意见；主张 
dialogue	1.n. 对话；意见交换 2.vt. 用对话表达 3.vi. 对话 
Gulen	
Hamlets	1.小村 
inspire	1.vt. 激发；鼓舞；启示；产生；使生灵感 
condoms	1.n. [医] 避孕套；橡皮套（condom复数形式） 
exaggerate	1.vt. 使扩大；使增大 2.vi. 夸大；夸张 
oceans	1.n. [海洋] 海洋（ocean的复数形式） 
staging	1.n. 上演；分段运输；脚手架；乘驿马车的旅行 2.v. 表演；展现；分阶段进行；筹划（stage的ing形式） 
averaged	1.v. 平均（average的过去式） 2.adj. 平均的 
intriguing	1.adj. 有趣的；迷人的 2.v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式） 
stretched	1.v. 伸直，伸展；舒展（stretch的过去分词）；伸缩 2.adj. 拉伸的，伸展了的 
Caracas	1.n. 加拉加斯（委内瑞拉首都） 
subscription	1.n. 捐献；订阅；订金；签署 
accepting	1.v. 接受；同意；承担（责任等）（accept的ing形式） 2.adj. 承兑的；易接受的；赞同的 
disorder	1.n. 混乱；骚乱 2.vt. 使失调；扰乱 
coal-fired	1.adj. 烧煤的 
assert	1.vt. 维护，坚持；断言；主张；声称 
generic	1.adj. 类的；一般的；属的；非商标的 
disabled	1.adj. 残废的，有缺陷的 2.v. 使…失去能力（disable的过去分词） 
strategists	1.n. 战略家；军事家 
Armenians	1.n. 亚美尼亚人（Armenian的复数） 
slaughter	1.n. 屠宰，屠杀；杀戮；消灭 2.vt. 屠宰，屠杀；杀戮；使惨败 3.n. (Slaughter)人名；(英)斯劳特 
Baltic	1.n. 波罗的海 2.adj. 波罗的海的 
dressed	1.v. 装饰；给…穿衣；布置（dress的过去分词） 2.adj. 穿好衣服的；打扮好的；去内脏及分割加工好的（特指动物，如鱼，禽类等） 
myriad	1.n. 无数，极大数量；无数的人或物 2.adj. 无数的；种种的 
motion	1.n. 动作；移动；手势；请求；意向 2.vt. 运动；向…打手势 3.vi. 运动；打手势 
profitability	1.n. 赢利能力；收益性；利益率 
acceptable	1.adj. 可接受的；合意的；可忍受的 
monitors	1.n. [自] 监视器，监控器；情况通报（monitor复数形式） 
franchise	1.n. 特权；公民权；经销权；管辖权 2.vt. 给…以特许（或特权）；赋予公民权 
Liberals	1.n. 自由主义者（liberal的复数） 
equals	1.n. 对手；（地位、实力等）相同或相等的人；相等物（equal的复数形式） 2.v. 平等（equal的第三人称单数形式）；与…相同 
mayhem	1.n. 故意的伤害罪；重伤罪；蓄意的破坏 
reef	1.n. 暗礁；[地质] 矿脉；收帆 2.vt. 收帆；缩帆 3.vi. 缩帆；收帆 
miners	1.n. [矿业] 矿工（miner的复数）；煤矿工人 2.n. (Miners)人名；(英)迈纳斯 
Oregon	1.n. 俄勒冈州（美国州名） 
entrepreneurial	1.adj. 企业家的，创业者的；中间商的 
application	1.n. 应用；申请；应用程序；敷用 
maternity	1.n. 母性，母道；[妇产] 妇产科医院 2.adj. 产科的；产妇的，孕妇的 
ideals	1.n. [数] 理想（ideal的复数） 
Miami	1.n. 迈阿密（美国美国佛罗里达州东南部港市） 
Barbara	1.n. 芭芭拉（女子名） 
custody	1.n. 保管；监护；拘留；抚养权 
Toyota	1.n. 日本丰田汽车（公司名） 
piled	1.v. 堆积；积累（pile的过去分词） 2.adj. 有细毛的 
whopping	1.adj. 巨大的；天大的 2.adv. 非常地；异常地 3.v. 猛打；抽出（whop的ing形式） 
Nixon	1.n. 尼克松（美国第37任总统） 
accommodation	1.n. 住处，膳宿；调节；和解；预订铺位 
headache	1.n. 头痛；麻烦；令人头痛之事 
Alberto	1.n. 阿尔贝托（阿塞拜疆教练） 
operated	1.v. 操作（operate的过去式和过去分词） 2.adj. 操作的 
seizing	1.n. 抓；夺；捆绑 2.v. 抓住；利用（seize的ing形式）；理解 
halved	1.v. 对半分开；均分；把…减半（halve的过去式和过去分词） 
reporters	1.n. 记者（reporter的复数） 
flash	1.n. 闪光，闪现；一瞬间 2.adj. 闪光的，火速的 3.vt. 使闪光；反射 4.vi. 闪光，闪现；反射 5.n. (Flash)人名；(西)弗拉什 
harvest	1.n. 收获；产量；结果 2.vt. 收割；得到 3.vi. 收割庄稼 
tracked	1.v. [计][电子] 跟踪，追踪（track的过去式） 2.adj. 有履带的 
offenders	1.n. 罪犯（offender的复数）；冒犯者 
equipped	1.v. 装备；预备（equip的过去分词）；整装 
Hussein	1.n. 侯赛因（姓氏） 
corporations	1.n. [贸易] 公司，[经] 企业（corporation的复数形式） 
Morocco	1.n. 摩洛哥（非洲一国家名）；[皮革] 摩洛哥皮革 
opera	1.n. 歌剧；歌剧院；歌剧团 2.n. (Opera)人名；(意)奥佩拉 
Portuguese	1.n. 葡萄牙人；葡萄牙语 2.adj. 葡萄牙的；葡萄牙人的；葡萄牙语的 
Minsk	1.n. 明斯克（白俄罗斯首都） 
depressing	1.adj. 压抑的；使人沮丧的 
monarchy	1.n. 君主政体；君主国；君主政治 
liberalism	1.n. 自由主义；开明的思想或见解 
tolerate	1.vt. 忍受；默许；宽恕 
Patrick	1.n. 帕特里克（男子名） 
squad	1.n. 班；小队；五人组（篮球队的非正式说法） 2.vt. 把…编成班；把…编入班 
avert	1.vt. 避免，防止；转移 
unintended	1.adj. 无意识的；非计划中的 
oversees	1.监视 
wells	1.n. 威尔斯（姓氏） 
adjustment	1.n. 调整，调节；调节器 
accumulated	1.v. 累积（accumulate的过去分词） 2.adj. 累积的；累计的；达到 
heroes	1.n. 英雄（hero的复数形式） 
demonstrates	1.示范 2.论证 
Partners	1.n. 伙伴（partner的复数形式）；合作伙伴；[法] 合伙人 2.v. 合伙；成为搭档（partner的第三人称单数） 
creatures	1.n. 生物（creature的复数） 
repaid	1.v. 偿还；报答（repay的过去分词） 2.adj. 偿付的 
doubling	1.n. 加倍；并线；折回；防护板；衬里 2.v. 使加倍；使成双（double的ing形式）；绕过；握紧 3.adj. 双重的；折叠的 
hybrid	1.n. 杂种，混血儿；混合物 2.adj. 混合的；杂种的 
hiding	1.n. 隐匿；躲藏处；殴打 2.n. (Hiding)人名；(瑞典)希丁 
Monitor	1.n. 监视器；监听器；监控器；显示屏；班长 2.vt. 监控 
travels	1.n. 旅途；旅行笔记 2.v. 旅行（travel的第三人称单数形式） 
stroke	1.n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚 2.vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘 3.vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘 
experimental	1.adj. 实验的；根据实验的；试验性的 
imagination	1.n. [心理] 想象力；空想；幻想物 
personally	1.adv. 亲自地；当面；个别地；就自己而言 
Koreans	1.n. 韩国人（Korean的复数形式）；朝鲜人 
plunging	1.n. 倒转 2.v. （使）投入，（使）插入；急降；从事（plunge的ing形式） 3.adj. 跳进的；突进往下的 
consecutive	1.adj. 连贯的；连续不断的 
subscribers	1.n. 订阅者，[金融] 认股人；捐款人（subscriber复数形式） 
mentor	1.n. 指导者，良师益友 2.vt. 指导 
nerve	1.n. 神经；勇气；[植] 叶脉 2.vt. 鼓起勇气 
innocent	1.n. 天真的人；笨蛋 2.adj. 无辜的；无罪的；无知的 3.n. (Innocent)人名；(英、西)因诺森特；(法)伊诺桑 
reluctance	1.n. [电磁] 磁阻；勉强；不情愿 
influenced	1.v. 影响（influence的过去分词） 2.adj. 受影响的 
trim	1.n. 修剪；整齐；情形 2.vt. 修剪；整理；装点 3.adj. 整齐的 4.vi. 削减 5.n. (Trim)人名；(意)特里姆 
assumptions	1.n. 假定，设想（assumption复数形式） 
beside	1.prep. 在旁边；与…相比；和…无关 
lawsuit	1.n. 诉讼（尤指非刑事案件）；诉讼案件 
fulfil	1.vt. 履行；完成；实践；满足 
one-fifth	
bullets	1.n. [军] 子弹（bullet的复数形式） 
pro-democracy	1.支持民主 
footage	1.n. 英尺长度；连续镜头；以尺计算长度 
strangely	1.adv. 奇怪地；奇妙地；不可思议地 
Force	1.n. 力量；武力；军队；魄力 2.vt. 促使，推动；强迫；强加 3.n. (Force)人名；(意)福尔切；(英、法)福斯 
Arabic	1.n. 阿拉伯语 2.adj. 阿拉伯的；阿拉伯人的 
erosion	1.n. 侵蚀，腐蚀 
adequate	1.adj. 充足的；适当的；胜任的 
Glasgow	1.n. 格拉斯哥（英国城市名） 
informed	1.v. 通知；使了解；提供资料（inform的过去分词） 2.adj. 消息灵通的；见多识广的 
dairy	1.n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业 2.adj. 乳品的；牛奶的；牛奶制的；产乳的 
world-class	1.n. 世界级 2.adj. 世界级的 
independently	1.adv. 独立地；自立地 
analysed	1.v. 分析（analyse的过去分词） 
alien	1.n. 外国人，外侨；外星人 2.adj. 外国的；相异的，性质不同的；不相容的 3.vt. 让渡，转让 4.n. (Alien)人名；(法)阿利安 
clearer	1.n. [助剂] 澄清剂；清洁器 2.adj. 更清楚的 
determination	1.n. 决心；果断 
residence	1.n. 住宅，住处；居住 
column	1.n. 纵队，列；专栏；圆柱，柱形物 
sizeable	1.adj. 大的，相当大的 
nominated	1.v. 提名；任命（nominate的过去分词） 2.adj. 被提名的；被任命的 
motivation	1.n. 动机；积极性；推动 
Berkeley	1.n. 贝克莱（爱尔兰主教及哲学家）；伯克利（姓氏）；伯克利（美国港市） 
geography	1.n. 地理；地形 
encounter	1.n. 遭遇，偶然碰见 2.vi. 遭遇；偶然相遇 3.vt. 遭遇，邂逅；遇到 
ample	1.adj. 丰富的；足够的；宽敞的 2.n. (Ample)人名；(西)安普尔 
interpretation	1.n. 解释；翻译；演出 
Morsi	1.莫尔西（地名） 
arrests	1.n. [法] 拘留（arrest的复数）；停止点；临界点 2.v. [法] 逮捕；阻止（arrest的单三形式） 
Real	1.n. 现实；实数 2.adj. 实际的；真实的；实在的 3.adv. 真正地；确实地 4.n. (Real)人名；(德、西、葡、法)雷亚尔；(英)里尔 
Kremlin	1.n. 克里姆林宫（前苏联政府） 2.adj. 克里姆林宫的；前苏联政府的 
rooted	1.v. 生根（root的过去式） 2.adj. 根深蒂固的；生根的 
Hundreds	1.n. 数百 2.百 3.百分之百 4.成百上千 
Kuan	1.n. 官窑瓷器 2.n. (Kuan)人名；(俄)库安 
